title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
Inuyasha the Movie 4: Fire on the Mystic Island,MOVIE,2004,PG-13,88,"fantasy, action, comedy, animation",JP,1,7,1826
My Führer,MOVIE,2007,Uk,89,"drama, european, comedy, war",DE,1,5,4430
Tayo the Little Bus,SHOW,2010,TV-Y,11,"animation, comedy, family",KR,6,5,156
Autumn's Concerto,SHOW,2009,TV-14,58,"drama, romance",TW,1,7,475
Sir! No Sir!,MOVIE,2005,Uk,85,"war, documentation",US,1,7,778
DreamWorks Spooky Stories,SHOW,2009,TV-PG,26,animation,US,1,6,19
Inuyasha the Movie: Affections Touching Across Time,MOVIE,2001,PG-13,99,"action, animation, fantasy",JP,1,7,2570
Once Upon a Time in Mumbaai,MOVIE,2010,PG-13,132,"thriller, crime, drama, romance, action",IN,1,7,17494
Guru,MOVIE,2007,PG-13,166,"romance, documentation, drama, european",IN,1,7,23541
Romantik Komedi,MOVIE,2010,G,110,"romance, comedy",TR,1,5,5060
Jeff Dunham's Very Special Christmas Special,MOVIE,2008,PG-13,85,"comedy, documentation",US,1,7,3028
Paheli,MOVIE,2005,PG-13,141,"fantasy, drama, romance, comedy",IN,1,6,13206
Honeymoon Travels Pvt. Ltd.,MOVIE,2007,PG-13,118,"comedy, drama, romance",IN,1,6,2609
Behind Enemy Lines,SHOW,2001,TV-14,49,drama,US,1,7,42
Inuyasha the Movie 3: Swords of an Honorable Ruler,MOVIE,2003,PG-13,99,"fantasy, thriller, animation, action",JP,1,7,2206
Fated to Love You,SHOW,2008,TV-G,67,"drama, comedy, romance",TW,1,7,461
Kaminey,MOVIE,2009,PG-13,135,"drama, crime, action, thriller",IN,1,7,17136
Nuevo Rico Nuevo Pobre,SHOW,2007,TV-MA,44,comedy,CO,1,7,203
Kevin Hart: I'm a Grown Little Man,MOVIE,2009,R,72,"comedy, documentation",US,1,7,4333
Mukhsin,MOVIE,2006,Uk,95,"drama, comedy, family",MY,1,7,382
Pecados capitales,SHOW,2002,TV-MA,43,"comedy, drama, romance",CO,1,8,190
Apaharan,MOVIE,2005,Uk,173,"action, drama, crime",IN,1,7,4736
